NP_000012.1	NP_000012.1; XP_016857324.1	467; 448	Pfam	PF01080; PF01080	Presenilin; Presenilin	4.9E-166; 1.3E-107	IPR001108; IPR001108	Peptidase A22A, presenilin; Peptidase A22A, presenilin
NP_001308702.1	NP_001308702.1; XP_016859850.1	517; 540	Pfam	PF00595; PF00595	PDZ domain; PDZ domain	7.2E-17; 1.6E-16	IPR001478; IPR001478	PDZ domain; PDZ domain
NP_001308916.1	NP_001308916.1; XP_024307788.1	428; 484	Pfam	PF01150; PF01150	GDA1/CD39 (nucleoside phosphatase) family; GDA1/CD39 (nucleoside phosphatase) family	5.0E-76; 1.9E-68	IPR000407; IPR000407	Nucleoside phosphatase GDA1/CD39; Nucleoside phosphatase GDA1/CD39
NP_001309022.1	NP_001309022.1; XP_016865537.1	307; 292	Pfam	PF04857; PF04857	CAF1 family ribonuclease; CAF1 family ribonuclease	2.9E-12; 6.5E-12	IPR006941; IPR006941	Ribonuclease CAF1; Ribonuclease CAF1
NP_001309831.1	NP_001309831.1; XP_016878181.1	206; 224	Pfam	PF00835; PF00835	SNAP-25 family; SNAP-25 family	4.5E-21; 7.0E-20	IPR000928; IPR000928	SNAP-25 domain; SNAP-25 domain
NP_001309906.1	NP_001309906.1; NP_001374956.1; XP_024303560.1	322; 329; 340	Pfam	PF03820; PF03820; PF03820	Sideroflexins; Sideroflexins; Sideroflexins	4.3E-147; 1.8E-127; 6.8E-134	IPR004686; IPR004686; IPR004686	Tricarboxylate/iron carrier; Tricarboxylate/iron carrier; Tricarboxylate/iron carrier
NP_001309970.1	NP_001309970.1; NP_001353018.1	762; 785	Pfam	PF12129; PF12129	Male germ-cell putative homeodomain transcription factor; Male germ-cell putative homeodomain transcription factor	2.4E-67; 2.1E-61	IPR021980; IPR021980	Transcription factor homeodomain, male germ-cell; Transcription factor homeodomain, male germ-cell
NP_001310008.1	NP_001310008.1; NP_001338043.1	333; 333	Pfam	PF00447; PF00447	HSF-type DNA-binding; HSF-type DNA-binding	1.2E-23; 2.7E-24	IPR000232; IPR000232	Heat shock factor (HSF)-type, DNA-binding; Heat shock factor (HSF)-type, DNA-binding
NP_001310839.1	NP_001310839.1; XP_024305651.1	464; 400	Pfam	PF12796, PF13637; PF12796, PF13637	Ankyrin repeats (3 copies), Ankyrin repeats (many copies); Ankyrin repeats (3 copies), Ankyrin repeats (many copies)	1.7E-13, 1.7E-5; 1.9E-15, 2.9E-8	IPR020683, -; IPR020683, -	Ankyrin repeat-containing domain, -; Ankyrin repeat-containing domain, -
NP_001310912.1	NP_001310912.1; XP_024308482.1; XP_016871641.1	906; 953; 970	Pfam	PF01044; PF01044; PF01044	Vinculin family; Vinculin family; Vinculin family	2.4E-215; 1.7E-210; 9.1E-177	IPR006077; IPR006077; IPR006077	Vinculin/alpha-catenin; Vinculin/alpha-catenin; Vinculin/alpha-catenin
NP_001311045.1	NP_001311045.1; XP_006717380.1	522; 512	Pfam	PF01704; PF01704	UTP--glucose-1-phosphate uridylyltransferase; UTP--glucose-1-phosphate uridylyltransferase	1.1E-93; 6.5E-66	IPR002618; IPR002618	UDPGP family; UDPGP family
NP_001311209.1	NP_001311209.1; XP_016885074.1	158; 158	Pfam	; 	; 	; 	; 	; 
NP_001315548.1	NP_001315548.1; XP_011539126.1	501; 517	Pfam	PF00083; PF00083	Sugar (and other) transporter; Sugar (and other) transporter	1.7E-139; 1.9E-105	IPR005828; IPR005828	Major facilitator,  sugar transporter-like; Major facilitator,  sugar transporter-like
NP_001316485.1	NP_001316485.1; XP_016865333.1	211; 257	Pfam	PF03134; PF03134	TB2/DP1, HVA22 family; TB2/DP1, HVA22 family	5.1E-27; 2.6E-30	IPR004345; IPR004345	TB2/DP1/HVA22-related protein; TB2/DP1/HVA22-related protein
NP_001316534.1	NP_001316534.1; XP_016864546.1	475; 481	Pfam	PF12605, PF00069; PF12605, PF00069	Casein kinase 1 gamma C terminal, Protein kinase domain; Casein kinase 1 gamma C terminal, Protein kinase domain	5.4E-35, 5.5E-26; 3.5E-31, 1.1E-21	IPR022247, IPR000719; IPR022247, IPR000719	Casein kinase 1 gamma C-terminal, Protein kinase domain; Casein kinase 1 gamma C-terminal, Protein kinase domain
NP_001316858.1	NP_001316858.1; XP_016869077.1	529; 591	Pfam	PF00481; PF00481	Protein phosphatase 2C; Protein phosphatase 2C	2.5E-36; 1.3E-35	IPR001932; IPR001932	PPM-type phosphatase domain; PPM-type phosphatase domain
NP_001316913.1	NP_001316913.1; NP_001372155.1	459; 489	Pfam	PF00611; PF00611	Fes/CIP4, and EFC/F-BAR homology domain; Fes/CIP4, and EFC/F-BAR homology domain	6.4E-17; 3.7E-17	IPR001060; IPR001060	FCH domain; FCH domain
NP_001317093.1	NP_001317093.1; XP_016883121.1	692; 686	Pfam	; 	; 	; 	; 	; 
NP_001317211.1	NP_001317211.1; XP_024308819.1	218; 269	Pfam	PF12926; PF12926	Mitotic-spindle organizing gamma-tubulin ring associated; Mitotic-spindle organizing gamma-tubulin ring associated	3.6E-37; 1.8E-36	IPR024332; IPR024332	MOZART2 family; MOZART2 family
NP_001332856.1	NP_001332856.1; XP_024309900.1	1707; 1712	Pfam	PF00271, PF00270; PF00270, PF00271	Helicase conserved C-terminal domain, DEAD/DEAH box helicase; DEAD/DEAH box helicase, Helicase conserved C-terminal domain	1.3E-5, 6.8E-15; 3.8E-17, 3.7E-6	IPR001650, IPR011545; IPR011545, IPR001650	Helicase, C-terminal, DEAD/DEAH box helicase domain; DEAD/DEAH box helicase domain, Helicase, C-terminal
NP_001333739.1	NP_001333739.1; XP_024307056.1	1055; 987	Pfam	PF03359; PF03359	Guanylate-kinase-associated protein (GKAP) protein; Guanylate-kinase-associated protein (GKAP) protein	3.8E-159; 5.0E-154	IPR005026; IPR005026	SAPAP family; SAPAP family
NP_001333840.1	NP_001333840.1; XP_005268214.1	379; 358	Pfam	PF00069; PF00069	Protein kinase domain; Protein kinase domain	5.2E-78; 2.6E-82	IPR000719; IPR000719	Protein kinase domain; Protein kinase domain
NP_001334025.1	NP_001334025.1; NP_038466.2; NP_038472.2; NP_064516.2	655; 589; 624; 601	Pfam	PF00240, PF00627; PF00240, PF00627; PF00627, PF00240; PF00240, PF00627	Ubiquitin family, UBA/TS-N domain; Ubiquitin family, UBA/TS-N domain; UBA/TS-N domain, Ubiquitin family; Ubiquitin family, UBA/TS-N domain	6.3E-18, 1.2E-6; 8.9E-19, 1.8E-7; 2.8E-7, 1.1E-17; 5.8E-15, 1.1E-6	IPR000626, IPR015940; IPR000626, IPR015940; IPR015940, IPR000626; IPR000626, IPR015940	Ubiquitin-like domain, Ubiquitin-associated domain; Ubiquitin-like domain, Ubiquitin-associated domain; Ubiquitin-associated domain, Ubiquitin-like domain; Ubiquitin-like domain, Ubiquitin-associated domain
NP_001334748.1	NP_001334748.1; XP_005249816.1	1010; 1038	Pfam	PF16078, PF00676, PF16870, PF02779; PF02779, PF16078, PF00676, PF16870	2-oxoglutarate dehydrogenase N-terminus, Dehydrogenase E1 component, 2-oxoglutarate dehydrogenase C-terminal, Transketolase, pyrimidine binding domain; Transketolase, pyrimidine binding domain, 2-oxoglutarate dehydrogenase N-terminus, Dehydrogenase E1 component, 2-oxoglutarate dehydrogenase C-terminal	2.7E-14, 1.1E-86, 2.4E-52, 1.4E-68; 2.9E-66, 5.3E-18, 5.5E-102, 3.4E-56	IPR032106, IPR001017, IPR031717, IPR005475; IPR005475, IPR032106, IPR001017, IPR031717	2-oxoglutarate dehydrogenase E1 component, N-terminal domain, Dehydrogenase, E1 component, Multifunctional 2-oxoglutarate metabolism enzyme, C-terminal, Transketolase-like, pyrimidine-binding domain; Transketolase-like, pyrimidine-binding domain, 2-oxoglutarate dehydrogenase E1 component, N-terminal domain, Dehydrogenase, E1 component, Multifunctional 2-oxoglutarate metabolism enzyme, C-terminal
NP_001334784.1	NP_001334784.1; NP_001355044.1	695; 708	Pfam	PF00002, PF01825; PF01825, PF00002	7 transmembrane receptor (Secretin family), GPCR proteolysis site, GPS, motif; GPCR proteolysis site, GPS, motif, 7 transmembrane receptor (Secretin family)	3.8E-31, 1.6E-9; 1.4E-7, 1.1E-26	IPR000832, IPR000203; IPR000203, IPR000832	GPCR, family 2, secretin-like, GPS motif; GPS motif, GPCR, family 2, secretin-like
NP_001334786.1	NP_001334786.1; XP_024302826.1	348; 339	Pfam	PF01145; PF01145	SPFH domain / Band 7 family; SPFH domain / Band 7 family	2.6E-21; 8.0E-20	IPR001107; IPR001107	Band 7 domain; Band 7 domain
NP_001334892.1	NP_001334892.1; NP_001369447.1	678; 673	Pfam	PF00076; PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	2.3E-8; 2.4E-8	IPR000504; IPR000504	RNA recognition motif domain; RNA recognition motif domain
NP_001334924.1	NP_001334924.1; XP_011519709.1	603; 576	Pfam	PF04103; PF04103	CD20-like family; CD20-like family	2.7E-31; 1.3E-22	IPR007237; IPR007237	CD20-like family; CD20-like family
NP_001334999.1	NP_001334999.1; NP_001335001.1; NP_001335132.1	79; 79; 79	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_001335124.1	NP_001335124.1; XP_011525160.1	346; 383	Pfam	PF00001; PF00001	7 transmembrane receptor (rhodopsin family); 7 transmembrane receptor (rhodopsin family)	4.0E-33; 1.1E-33	IPR000276; IPR000276	G protein-coupled receptor, rhodopsin-like; G protein-coupled receptor, rhodopsin-like
NP_001336245.1	NP_001336245.1; NP_001357137.1	454; 473	Pfam	PF13516, PF12937; PF12937, PF13516	Leucine Rich repeat, F-box-like; F-box-like, Leucine Rich repeat	8.3E-5, 4.6E-11; 1.3E-12, 0.003	IPR001611, IPR001810; IPR001810, IPR001611	Leucine-rich repeat, F-box domain; F-box domain, Leucine-rich repeat
NP_001337228.1	NP_001337228.1; XP_016856073.1; NP_001371614.1	1057; 1031; 1105	Pfam	PF04382, PF05902, PF09379, PF09380, PF00373, PF08736; PF05902, PF04382, PF09380, PF09379, PF08736, PF00373; PF08736, PF09379, PF05902, PF09380, PF04382, PF00373	SAB domain, 4.1 protein C-terminal domain (CTD), FERM N-terminal domain, FERM C-terminal PH-like domain, FERM central domain, FERM adjacent (FA); 4.1 protein C-terminal domain (CTD), SAB domain, FERM C-terminal PH-like domain, FERM N-terminal domain, FERM adjacent (FA), FERM central domain; FERM adjacent (FA), FERM N-terminal domain, 4.1 protein C-terminal domain (CTD), FERM C-terminal PH-like domain, SAB domain, FERM central domain	2.7E-19, 3.0E-51, 1.3E-24, 1.6E-23, 1.8E-19, 6.0E-19; 1.1E-49, 3.2E-21, 6.5E-25, 1.1E-20, 2.9E-19, 1.6E-18; 1.2E-18, 8.0E-24, 7.9E-53, 1.6E-23, 3.9E-23, 1.0E-18	IPR007477, IPR008379, IPR018979, IPR018980, IPR019748, IPR014847; IPR008379, IPR007477, IPR018980, IPR018979, IPR014847, IPR019748; IPR014847, IPR018979, IPR008379, IPR018980, IPR007477, IPR019748	SAB domain, Band 4.1, C-terminal, FERM, N-terminal, FERM, C-terminal PH-like domain, FERM central domain, FERM adjacent (FA); Band 4.1, C-terminal, SAB domain, FERM, C-terminal PH-like domain, FERM, N-terminal, FERM adjacent (FA), FERM central domain; FERM adjacent (FA), FERM, N-terminal, Band 4.1, C-terminal, FERM, C-terminal PH-like domain, SAB domain, FERM central domain
NP_001337459.1	NP_001337459.1; XP_011541518.1	602; 566	Pfam	PF00249, PF01448; PF00249, PF01448	Myb-like DNA-binding domain, ELM2 domain; Myb-like DNA-binding domain, ELM2 domain	2.6E-7, 1.2E-9; 7.2E-6, 2.4E-8	IPR017930, IPR000949; IPR017930, IPR000949	Myb domain, ELM2 domain; Myb domain, ELM2 domain
NP_001337882.1	NP_001337882.1; XP_024304815.1	531; 521	Pfam	PF04791; PF04791	LMBR1-like membrane protein; LMBR1-like membrane protein	4.8E-93; 5.8E-52	IPR006876; IPR006876	LMBR1-like membrane protein; LMBR1-like membrane protein
NP_001337907.1	NP_001337907.1; XP_011517004.1	1134; 1202	Pfam	PF14650, PF15371; PF15371, PF14650	FAM75 family, Domain of unknown function (DUF4599); Domain of unknown function (DUF4599), FAM75 family	2.9E-91, 2.5E-24; 8.1E-24, 1.5E-90	IPR039509, IPR027970; IPR027970, IPR039509	SPATA31/FAM205, Domain of unknown function DUF4599; Domain of unknown function DUF4599, SPATA31/FAM205
NP_001338099.1	NP_001338099.1; XP_024308567.1	569; 567	Pfam	PF05761; PF05761	5' nucleotidase family; 5' nucleotidase family	6.3E-166; 1.0E-125	IPR008380; IPR008380	HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase; HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase
NP_001338326.1	NP_001338326.1; XP_016882957.1; XP_024301895.1	364; 351; 364	Pfam	PF00001; PF00001; PF00001	7 transmembrane receptor (rhodopsin family); 7 transmembrane receptor (rhodopsin family); 7 transmembrane receptor (rhodopsin family)	1.5E-39; 1.2E-34; 1.1E-36	IPR000276; IPR000276; IPR000276	G protein-coupled receptor, rhodopsin-like; G protein-coupled receptor, rhodopsin-like; G protein-coupled receptor, rhodopsin-like
NP_001339429.1	NP_001339429.1; XP_016875858.1	531; 561	Pfam	PF00651, PF00415; PF00415, PF00651	BTB/POZ domain, Regulator of chromosome condensation (RCC1) repeat; Regulator of chromosome condensation (RCC1) repeat, BTB/POZ domain	9.1E-20, 7.0E-15; 2.2E-15, 8.2E-17	IPR000210, IPR000408; IPR000408, IPR000210	BTB/POZ domain, Regulator of chromosome condensation, RCC1; Regulator of chromosome condensation, RCC1, BTB/POZ domain
NP_001339707.1	NP_001339707.1; XP_005247986.1	821; 842	Pfam	PF05010; PF05010	Transforming acidic coiled-coil-containing protein (TACC), C-terminal; Transforming acidic coiled-coil-containing protein (TACC), C-terminal	2.0E-80; 2.0E-82	IPR007707; IPR007707	Transforming acidic coiled-coil-containing protein, C-terminal; Transforming acidic coiled-coil-containing protein, C-terminal
NP_001339738.1	NP_001339738.1; XP_016862680.1; NP_001380491.1	532; 515; 504	Pfam	PF12874; PF12874; PF12874	Zinc-finger of C2H2 type; Zinc-finger of C2H2 type; Zinc-finger of C2H2 type	1.7E-7; 5.5E-8; 3.2E-7	-; -; -	-; -; -
NP_001339817.1	NP_001339817.1; NP_001371118.1	59; 55	Pfam	PF11057; PF11057	Cortexin of kidney; Cortexin of kidney	1.4E-14; 3.1E-8	IPR020066; IPR020066	Cortexin; Cortexin
NP_001340361.1	NP_001340361.1; XP_024303251.1	1181; 1170	Pfam	PF12796, PF14915, PF12001; PF14915, PF12796, PF12001	Ankyrin repeats (3 copies), CCDC144C protein coiled-coil region, Domain of unknown function (DUF3496); CCDC144C protein coiled-coil region, Ankyrin repeats (3 copies), Domain of unknown function (DUF3496)	4.3E-12, 1.7E-95, 3.4E-34; 1.0E-95, 6.9E-11, 2.0E-32	IPR020683, IPR039497, IPR021885; IPR039497, IPR020683, IPR021885	Ankyrin repeat-containing domain, CCDC144C-like, coiled-coil domain, Domain of unknown function DUF3496; CCDC144C-like, coiled-coil domain, Ankyrin repeat-containing domain, Domain of unknown function DUF3496
NP_001340845.1	NP_001340845.1; XP_016869225.1	406; 340	Pfam	PF00777; PF00777	Glycosyltransferase family 29 (sialyltransferase); Glycosyltransferase family 29 (sialyltransferase)	1.8E-36; 4.0E-77	IPR001675; IPR001675	Glycosyl transferase family 29; Glycosyl transferase family 29
NP_001340852.1	NP_001340852.1; NP_001382345.1	529; 483	Pfam	PF00018, PF00621, PF00169; PF00169, PF00018, PF00621	SH3 domain, RhoGEF domain, PH domain; PH domain, SH3 domain, RhoGEF domain	4.8E-10, 3.2E-44, 5.9E-7; 1.4E-8, 3.0E-9, 2.4E-47	IPR001452, IPR000219, IPR001849; IPR001849, IPR001452, IPR000219	SH3 domain, Dbl homology (DH) domain, Pleckstrin homology domain; Pleckstrin homology domain, SH3 domain, Dbl homology (DH) domain
NP_001340897.1	NP_001340897.1; XP_016871942.1	424; 436	Pfam	PF08969, PF01398; PF01398, PF08969	USP8 dimerisation domain, JAB1/Mov34/MPN/PAD-1 ubiquitin protease; JAB1/Mov34/MPN/PAD-1 ubiquitin protease, USP8 dimerisation domain	2.0E-23, 6.9E-21; 2.0E-18, 2.5E-20	IPR015063, IPR000555; IPR000555, IPR015063	USP8 dimerisation domain, JAB1/MPN/MOV34 metalloenzyme domain; JAB1/MPN/MOV34 metalloenzyme domain, USP8 dimerisation domain
NP_001340975.1	NP_001340975.1; XP_016885464.1	862; 807	Pfam	PF16523, PF07653, PF00169, PF16615, PF16614, PF00621, PF00307; PF16615, PF16614, PF00307, PF00169, PF07653, PF00621, PF16523	betaPIX coiled coil, Variant SH3 domain, PH domain, Unstructured region one on RhoGEF 6 and 7, Unstructured region two on RhoGEF 6 and 7, RhoGEF domain, Calponin homology (CH) domain; Unstructured region one on RhoGEF 6 and 7, Unstructured region two on RhoGEF 6 and 7, Calponin homology (CH) domain, PH domain, Variant SH3 domain, RhoGEF domain, betaPIX coiled coil	3.2E-43, 3.3E-18, 8.2E-9, 3.1E-16, 5.1E-50, 1.1E-32, 3.0E-13; 2.5E-16, 1.5E-63, 7.3E-18, 3.2E-10, 1.4E-16, 5.9E-31, 1.9E-38	IPR032409, IPR001452, IPR001849, -, -, IPR000219, IPR001715; -, -, IPR001715, IPR001849, IPR001452, IPR000219, IPR032409	Rho guanine nucleotide exchange factor, coiled-coil domain, SH3 domain, Pleckstrin homology domain, -, -, Dbl homology (DH) domain, Calponin homology domain; -, -, Calponin homology domain, Pleckstrin homology domain, SH3 domain, Dbl homology (DH) domain, Rho guanine nucleotide exchange factor, coiled-coil domain
NP_001341087.1	NP_001341087.1; XP_024308119.1	720; 717	Pfam	PF00501; PF00501	AMP-binding enzyme; AMP-binding enzyme	2.0E-103; 2.4E-104	IPR000873; IPR000873	AMP-dependent synthetase/ligase; AMP-dependent synthetase/ligase
NP_001341487.1	NP_001341487.1; NP_001365261.1; XP_016883467.1; NP_001361773.1	389; 434; 388; 411	Pfam	PF03096; PF03096; PF03096; PF03096	Ndr family; Ndr family; Ndr family; Ndr family	1.8E-100; 1.5E-123; 6.2E-127; 8.8E-125	IPR004142; IPR004142; IPR004142; IPR004142	NDRG; NDRG; NDRG; NDRG
NP_001341664.1	NP_001341664.1; XP_005252522.1; XP_016883857.1	883; 835; 853	Pfam	PF00365; PF00365; PF00365	Phosphofructokinase; Phosphofructokinase; Phosphofructokinase	6.1E-109; 4.5E-110; 5.4E-91	IPR000023; IPR000023; IPR000023	Phosphofructokinase domain; Phosphofructokinase domain; Phosphofructokinase domain
NP_001341909.1	NP_001341909.1; NP_001354699.1	578; 647	Pfam	PF14893; PF14893	PNMA; PNMA	1.1E-57; 1.2E-52	IPR026523; IPR026523	Paraneoplastic antigen Ma; Paraneoplastic antigen Ma
NP_001341911.1	NP_001341911.1; XP_011513184.1	855; 937	Pfam	PF07714, PF00754; PF07714, PF00754	Protein tyrosine and serine/threonine kinase, F5/8 type C domain; Protein tyrosine and serine/threonine kinase, F5/8 type C domain	3.6E-85, 3.6E-21; 3.2E-81, 4.7E-20	IPR001245, IPR000421; IPR001245, IPR000421	Serine-threonine/tyrosine-protein kinase, catalytic domain, Coagulation factor 5/8 C-terminal domain; Serine-threonine/tyrosine-protein kinase, catalytic domain, Coagulation factor 5/8 C-terminal domain
NP_001342386.1	NP_001342386.1; XP_016866378.1	805; 805	Pfam	PF15663; PF15663	Zinc-finger containing family; Zinc-finger containing family	7.1E-58; 4.6E-58	IPR041686; IPR041686	Zinc-finger CCCH domain; Zinc-finger CCCH domain
NP_001342542.1	NP_001342542.1; NP_001382791.1	405; 400	Pfam	PF00046; PF00046	Homeodomain; Homeodomain	1.3E-11; 9.5E-12	IPR001356; IPR001356	Homeobox domain; Homeobox domain
NP_001345378.1	NP_001345378.1; XP_024308091.1; XP_024308082.1	59; 94; 117	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_001349880.1	NP_001349880.1; XP_016872662.1	756; 736	Pfam	PF13896, PF01501; PF13896, PF01501	Glycosyl-transferase for dystroglycan, Glycosyl transferase family 8; Glycosyl-transferase for dystroglycan, Glycosyl transferase family 8	3.6E-44, 3.3E-19; 5.4E-35, 1.9E-17	-, IPR002495; -, IPR002495	-, Glycosyl transferase, family 8; -, Glycosyl transferase, family 8
NP_001350126.1	NP_001350126.1; XP_016864269.1	456; 526	Pfam	PF01553; PF01553	Acyltransferase; Acyltransferase	6.1E-19; 6.7E-19	IPR002123; IPR002123	Phospholipid/glycerol acyltransferase; Phospholipid/glycerol acyltransferase
NP_001350659.1	NP_001350659.1; NP_001362587.1	488; 454	Pfam	PF00069; PF00069	Protein kinase domain; Protein kinase domain	3.1E-73; 5.3E-75	IPR000719; IPR000719	Protein kinase domain; Protein kinase domain
NP_001350759.2	NP_001350759.2; XP_016880298.1	612; 578	Pfam	PF04326; PF04326	Putative DNA-binding domain; Putative DNA-binding domain	1.8E-10; 1.8E-13	IPR007421; IPR007421	Schlafen, AlbA_2 domain; Schlafen, AlbA_2 domain
NP_001350836.1	NP_001350836.1; NP_001334857.1; NP_006138.1	436; 514; 467	Pfam	PF10401, PF00605; PF10401, PF00605; PF10401, PF00605	Interferon-regulatory factor 3, Interferon regulatory factor transcription factor; Interferon-regulatory factor 3, Interferon regulatory factor transcription factor; Interferon-regulatory factor 3, Interferon regulatory factor transcription factor	5.1E-65, 7.6E-42; 2.0E-71, 1.3E-37; 3.3E-68, 2.1E-36	IPR019471, IPR001346; IPR019471, IPR001346; IPR019471, IPR001346	Interferon regulatory factor-3, Interferon regulatory factor DNA-binding domain; Interferon regulatory factor-3, Interferon regulatory factor DNA-binding domain; Interferon regulatory factor-3, Interferon regulatory factor DNA-binding domain
NP_001351766.1	NP_001351766.1; XP_005266964.1	964; 986	Pfam	PF02882, PF00763, PF01268; PF02882, PF01268, PF00763	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain, Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain, Formate--tetrahydrofolate ligase; Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain, Formate--tetrahydrofolate ligase, Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain	5.1E-67, 2.3E-36, 1.9E-249; 3.3E-24, 7.6E-247, 8.7E-16	IPR020631, IPR020630, IPR000559; IPR020631, IPR000559, IPR020630	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain, Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain, Formate-tetrahydrofolate ligase, FTHFS; Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain, Formate-tetrahydrofolate ligase, FTHFS, Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain
NP_001352032.1	NP_001352032.1; XP_024302934.1; XP_005258709.1	354; 361; 370	Pfam	PF00178; PF00178; PF00178	Ets-domain; Ets-domain; Ets-domain	6.2E-32; 1.5E-32; 2.9E-31	IPR000418; IPR000418; IPR000418	Ets domain; Ets domain; Ets domain
NP_001352880.1	NP_001352880.1; NP_001366560.1	1816; 1816	Pfam	PF00225, PF00169, PF16183, PF00498, PF12423, PF12473; PF16183, PF00498, PF00225, PF12473, PF00169, PF12423	Kinesin motor domain, PH domain, Kinesin-associated, FHA domain, Kinesin protein 1B, Kinesin protein; Kinesin-associated, FHA domain, Kinesin motor domain, Kinesin protein, PH domain, Kinesin protein 1B	1.7E-115, 2.3E-11, 9.8E-86, 2.4E-7, 2.2E-13, 1.9E-37; 5.8E-91, 9.8E-7, 1.4E-116, 1.8E-37, 6.9E-11, 4.8E-13	IPR001752, IPR001849, IPR032405, IPR000253, IPR022140, IPR022164; IPR032405, IPR000253, IPR001752, IPR022164, IPR001849, IPR022140	Kinesin motor domain, Pleckstrin homology domain, Kinesin-associated, Forkhead-associated (FHA) domain, Kinesin-like KIF1-type, Kinesin-like; Kinesin-associated, Forkhead-associated (FHA) domain, Kinesin motor domain, Kinesin-like, Pleckstrin homology domain, Kinesin-like KIF1-type
NP_001352934.1	NP_001352934.1; XP_016881964.1	1469; 1506	Pfam	PF16489, PF02793, PF00002, PF02191, PF01825, PF02140, PF02354; PF02191, PF16489, PF01825, PF02793, PF00002, PF02140, PF02354	GPCR-Autoproteolysis INducing (GAIN) domain, Hormone receptor domain, 7 transmembrane receptor (Secretin family), Olfactomedin-like domain, GPCR proteolysis site, GPS, motif, Galactose binding lectin domain, Latrophilin Cytoplasmic C-terminal region; Olfactomedin-like domain, GPCR-Autoproteolysis INducing (GAIN) domain, GPCR proteolysis site, GPS, motif, Hormone receptor domain, 7 transmembrane receptor (Secretin family), Galactose binding lectin domain, Latrophilin Cytoplasmic C-terminal region	2.6E-56, 2.2E-8, 6.7E-69, 4.4E-84, 1.1E-14, 1.7E-23, 1.3E-163; 1.0E-85, 3.2E-55, 1.5E-15, 3.0E-8, 3.2E-67, 9.6E-23, 2.9E-147	IPR032471, IPR001879, IPR000832, IPR003112, IPR000203, IPR000922, IPR003334; IPR003112, IPR032471, IPR000203, IPR001879, IPR000832, IPR000922, IPR003334	GAIN domain, N-terminal, GPCR, family 2, extracellular hormone receptor domain, GPCR, family 2, secretin-like, Olfactomedin-like domain, GPS motif, D-galactoside/L-rhamnose binding SUEL lectin domain, GPCR, family 2, latrophilin, C-terminal; Olfactomedin-like domain, GAIN domain, N-terminal, GPS motif, GPCR, family 2, extracellular hormone receptor domain, GPCR, family 2, secretin-like, D-galactoside/L-rhamnose binding SUEL lectin domain, GPCR, family 2, latrophilin, C-terminal
NP_001353228.1	NP_001353228.1; XP_016858228.1	747; 688	Pfam	PF00013, PF09005; PF09005, PF00013	KH domain, Domain of unknown function (DUF1897); Domain of unknown function (DUF1897), KH domain	2.3E-17, 6.4E-6; 2.0E-6, 3.9E-18	IPR004088, IPR015096; IPR015096, IPR004088	K Homology domain, type 1, Far upstream element-binding protein, C-terminal; Far upstream element-binding protein, C-terminal, K Homology domain, type 1
NP_001353233.1	NP_001353233.1; XP_005270768.1; XP_024309282.1	559; 566; 538	Pfam	PF01749, PF00514, PF16186; PF16186, PF00514, PF01749; PF01749, PF16186, PF00514	Importin beta binding domain, Armadillo/beta-catenin-like repeat, Atypical Arm repeat; Atypical Arm repeat, Armadillo/beta-catenin-like repeat, Importin beta binding domain; Importin beta binding domain, Atypical Arm repeat, Armadillo/beta-catenin-like repeat	2.8E-26, 2.8E-12, 2.5E-22; 1.3E-22, 1.3E-13, 2.4E-24; 1.2E-26, 4.9E-23, 1.8E-13	IPR002652, IPR000225, IPR032413; IPR032413, IPR000225, IPR002652; IPR002652, IPR032413, IPR000225	Importin-alpha, importin-beta-binding domain, Armadillo, Atypical Arm repeat; Atypical Arm repeat, Armadillo, Importin-alpha, importin-beta-binding domain; Importin-alpha, importin-beta-binding domain, Atypical Arm repeat, Armadillo
NP_001353577.1	NP_001353577.1; XP_011531926.1	352; 448	Pfam	PF03781; PF03781	Sulfatase-modifying factor enzyme 1; Sulfatase-modifying factor enzyme 1	7.6E-79; 3.8E-77	IPR005532; IPR005532	Sulfatase-modifying factor enzyme; Sulfatase-modifying factor enzyme
NP_001353621.1	NP_001353621.1; NP_001365902.1	479; 466	Pfam	PF00001; PF00001	7 transmembrane receptor (rhodopsin family); 7 transmembrane receptor (rhodopsin family)	1.6E-74; 1.7E-73	IPR000276; IPR000276	G protein-coupled receptor, rhodopsin-like; G protein-coupled receptor, rhodopsin-like
NP_001354277.1	NP_001354277.1; NP_001373749.1	139; 139	Pfam	; 	; 	; 	; 	; 
