NP_000026.2	NP_000026.2; NP_005156.1	364; 364	Pfam	PF00274; PF00274	Fructose-bisphosphate aldolase class-I; Fructose-bisphosphate aldolase class-I	5.2E-173; 8.4E-181	IPR000741; IPR000741	Fructose-bisphosphate aldolase, class-I; Fructose-bisphosphate aldolase, class-I
NP_001004064.1	NP_001004064.1; NP_001005205.2	315; 316	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	1.0E-45; 1.6E-45	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_001004440.1	NP_001004440.1; XP_011531673.1	169; 169	Pfam	PF12020; PF12020	TAFA family; TAFA family	9.7E-23; 1.2E-39	IPR020350; IPR020350	Chemokine-like protein TAFA; Chemokine-like protein TAFA
NP_001004451.1	NP_001004451.1; XP_024303284.1; NP_001004452.1	322; 313; 313	Pfam	PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor	1.8E-57; 8.7E-59; 2.9E-59	IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_001004453.2	NP_001004453.2; NP_001005235.1	311; 311	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	9.1E-52; 2.7E-50	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_001004469.1	NP_001004469.1; XP_016856504.1	309; 309	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	2.3E-49; 3.1E-55	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_001004473.1	NP_001004473.1; NP_001004476.1	313; 312	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	7.3E-42; 2.1E-41	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_001004489.1	NP_001004489.1; NP_001372982.1	316; 316	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	2.4E-45; 2.6E-47	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_001004685.1	NP_001004685.1; XP_011514321.1	317; 317	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	1.3E-50; 8.3E-54	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_001004692.1	NP_001004692.1; NP_001004695.1; NP_001005522.1	320; 320; 312	Pfam	PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor	5.1E-52; 2.3E-53; 2.6E-53	IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_001004693.1	NP_001004693.1; NP_001004694.2; NP_001004696.2; NP_001004697.1	312; 315; 320; 315	Pfam	PF13853; PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor	6.5E-51; 1.7E-45; 1.1E-49; 1.3E-45	IPR000725; IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_001004705.1	NP_001004705.1; NP_001004711.1; NP_001004706.1	311; 314; 311	Pfam	PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor	5.8E-42; 2.1E-43; 3.0E-42	IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_001004707.1	NP_001004707.1; NP_001373024.1	307; 310	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	1.4E-38; 3.3E-42	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_001004719.2	NP_001004719.2; NP_001382225.1; NP_001005500.1	313; 313; 313	Pfam	PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor	8.5E-39; 1.5E-38; 1.3E-41	IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_001004723.1	NP_001004723.1; NP_001004724.1; NP_001005241.2; NP_001352318.2; NP_001382400.1	307; 308; 316; 316; 316	Pfam	PF13853; PF13853; PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor	7.9E-42; 6.5E-44; 5.3E-44; 9.2E-44; 1.4E-42	IPR000725; IPR000725; IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_001004733.1	NP_001004733.1; NP_001005566.1; NP_001005469.1; NP_001005218.1; NP_001005489.1	314; 309; 314; 309; 314	Pfam	PF13853; PF13853; PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor	9.0E-55; 4.3E-52; 2.9E-51; 1.2E-53; 4.7E-51	IPR000725; IPR000725; IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_001004736.2	NP_001004736.2; NP_001004737.1; NP_001005516.1; NP_001005517.1	308; 316; 321; 321	Pfam	PF13853; PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor	2.7E-49; 2.2E-47; 8.5E-48; 5.2E-47	IPR000725; IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_001004738.1	NP_001004738.1; NP_001004739.1	311; 311	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	1.3E-47; 4.4E-43	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_001004740.1	NP_001004740.1; NP_001004741.1	315; 315	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	6.6E-50; 1.4E-51	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_001004742.2	NP_001004742.2; NP_001004743.1; NP_001005282.1	307; 310; 311	Pfam	PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor	2.6E-49; 2.2E-49; 4.0E-51	IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_001004745.1	NP_001004745.1; NP_001004746.2; NP_001004747.2	326; 318; 322	Pfam	PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor	1.4E-49; 9.5E-48; 2.5E-47	IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_001004748.1	NP_001004748.1; NP_001005329.1; NP_001004749.1	313; 313; 312	Pfam	PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor	1.7E-110; 1.1E-114; 3.7E-111	IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_001004750.1	NP_001004750.1; NP_001382181.1	312; 312	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	8.8E-103; 9.6E-106	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_001005167.1	NP_001005167.1; NP_001005168.2	313; 313	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	7.2E-108; 1.3E-116	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_001005171.2	NP_001005171.2; NP_001005172.2	314; 314	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	4.5E-112; 2.3E-111	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_001005180.1	NP_001005180.1; NP_001382986.1	324; 316	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	3.8E-68; 4.8E-72	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_001005182.1	NP_001005182.1; NP_001375427.1; NP_001005497.1; NP_001005183.1; NP_001005518.1; XP_016874615.1; NP_001005493.1; NP_001005499.1	312; 311; 312; 312; 312; 312; 314; 312	Pfam	PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor	4.4E-51; 5.4E-51; 6.8E-50; 4.4E-46; 1.0E-46; 8.0E-51; 1.1E-47; 1.0E-43	IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_001005191.1	NP_001005191.1; NP_001373041.1	312; 312	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	4.7E-55; 3.6E-49	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_001005199.1	NP_001005199.1; NP_001005201.1; NP_001372993.1	311; 312; 312	Pfam	PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor	2.2E-53; 1.3E-51; 7.9E-53	IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_001005204.1	NP_001005204.1; NP_001013374.2; NP_001013375.1	309; 319; 309	Pfam	PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor	3.5E-57; 1.5E-56; 1.2E-55	IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_001005212.1	NP_001005212.1; NP_001005283.1	310; 314	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	8.4E-44; 2.2E-51	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_001005213.1	NP_001005213.1; NP_001013376.2	305; 305	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	5.4E-42; 4.8E-45	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_001005239.2	NP_001005239.2; NP_001184216.2	315; 315	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	1.3E-49; 3.0E-52	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_001005338.1	NP_001005338.1; NP_001005515.1; NP_001005514.1; NP_001005479.2; NP_001005482.2	313; 313; 310; 309; 309	Pfam	PF13853; PF13853; PF13853; PF13853; PF13853	Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor	2.7E-48; 2.6E-48; 2.3E-42; 1.2E-45; 1.4E-45	IPR000725; IPR000725; IPR000725; IPR000725; IPR000725	Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor; Olfactory receptor
NP_001005356.1	NP_001005356.1; NP_001138914.1	508; 508	Pfam	PF12796; PF12796	Ankyrin repeats (3 copies); Ankyrin repeats (3 copies)	6.4E-14; 5.1E-14	IPR020683; IPR020683	Ankyrin repeat-containing domain; Ankyrin repeat-containing domain
NP_001005360.1	NP_001005360.1; NP_001361198.1	870; 867	Pfam	PF02212, PF01031, PF00350, PF00169; PF00350, PF01031, PF02212, PF00169	Dynamin GTPase effector domain, Dynamin central region, Dynamin family, PH domain; Dynamin family, Dynamin central region, Dynamin GTPase effector domain, PH domain	3.0E-25, 1.2E-110, 3.9E-55, 1.9E-13; 5.7E-54, 2.4E-111, 5.1E-27, 7.8E-12	IPR003130, IPR000375, IPR045063, IPR001849; IPR045063, IPR000375, IPR003130, IPR001849	Dynamin GTPase effector, Dynamin stalk domain, Dynamin, N-terminal, Pleckstrin homology domain; Dynamin, N-terminal, Dynamin stalk domain, Dynamin GTPase effector, Pleckstrin homology domain
NP_001005465.1	NP_001005465.1; NP_001005466.2	313; 310	Pfam	PF13853; PF13853	Olfactory receptor; Olfactory receptor	8.9E-48; 2.8E-45	IPR000725; IPR000725	Olfactory receptor; Olfactory receptor
NP_001006666.1	NP_001006666.1; XP_011543857.1	744; 746	Pfam	PF00433, PF00069; PF00433, PF00069	Protein kinase C terminal domain, Protein kinase domain; Protein kinase C terminal domain, Protein kinase domain	4.9E-6, 8.1E-77; 1.2E-6, 9.4E-74	IPR017892, IPR000719; IPR017892, IPR000719	Protein kinase, C-terminal, Protein kinase domain; Protein kinase, C-terminal, Protein kinase domain
NP_001009611.2	NP_001009611.2; NP_001091846.1; NP_001297063.1; NP_001293001.1; NP_001139816.2; NP_001010890.2; NP_001013425.2; NP_001010889.1; NP_001287820.1; NP_001093322.2	478; 478; 478; 478; 478; 478; 476; 476; 478; 475	Pfam	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 
NP_001009614.1	NP_001009614.1; NP_001009616.1	72; 72	Pfam	PF07458; PF07458	Sperm protein associated with nucleus, mapped to X chromosome; Sperm protein associated with nucleus, mapped to X chromosome	1.6E-37; 2.5E-37	IPR010007; IPR010007	SPAN-X family; SPAN-X family
NP_001010942.1	NP_001010942.1; NP_001357145.1	184; 184	Pfam	PF00071; PF00071	Ras family; Ras family	2.7E-57; 2.6E-56	IPR001806; IPR001806	Small GTPase; Small GTPase
NP_001011880.2	NP_001011880.2; XP_024306007.1	455; 446	Pfam	PF00059, PF00188; PF00188, PF00059	Lectin C-type domain, Cysteine-rich secretory protein family; Cysteine-rich secretory protein family, Lectin C-type domain	1.4E-16, 5.0E-18; 5.2E-18, 1.4E-17	IPR001304, IPR014044; IPR014044, IPR001304	C-type lectin-like, CAP domain; CAP domain, C-type lectin-like
NP_001012276.2	NP_001012276.2; NP_001012277.2; NP_001074299.2	474; 474; 483	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_001012995.1	NP_001012995.1; NP_001035971.1	200; 200	Pfam	PF00076; PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	3.6E-20; 3.6E-20	IPR000504; IPR000504	RNA recognition motif domain; RNA recognition motif domain
NP_001013653.1	NP_001013653.1; NP_001130033.3; NP_001369287.1; NP_001289480.1	293; 293; 293; 293	Pfam	PF00076; PF00076; PF00076; PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	5.1E-12; 8.2E-12; 5.1E-12; 5.1E-12	IPR000504; IPR000504; IPR000504; IPR000504	RNA recognition motif domain; RNA recognition motif domain; RNA recognition motif domain; RNA recognition motif domain
NP_001013672.1	NP_001013672.1; NP_001128131.1; NP_001128129.1	265; 266; 262	Pfam	PF10630; PF10630; PF10630	Protein of unknown function (DUF2476); Protein of unknown function (DUF2476); Protein of unknown function (DUF2476)	2.4E-113; 7.2E-112; 2.5E-119	IPR018903; IPR018903; IPR018903	Proline-rich protein 23; Proline-rich protein 23; Proline-rich protein 23
NP_001018861.3	NP_001018861.3; NP_001373824.1	603; 603	Pfam	PF15070, PF19046; PF15070, PF19046	Putative golgin subfamily A member 2-like protein 5, GM130 C-terminal binding motif; Putative golgin subfamily A member 2-like protein 5, GM130 C-terminal binding motif	2.9E-27, 8.6E-25; 2.9E-27, 1.4E-25	IPR043976, IPR043937; IPR043976, IPR043937	Golgin subfamily A, conserved domain, Golgin subfamily A member 2, C-terminal binding motif; Golgin subfamily A, conserved domain, Golgin subfamily A member 2, C-terminal binding motif
NP_001028675.1	NP_001028675.1; NP_001136120.1	198; 198	Pfam	PF00025; PF00025	ADP-ribosylation factor family; ADP-ribosylation factor family	1.9E-62; 1.9E-63	IPR006689; IPR006689	Small GTPase superfamily, ARF/SAR type; Small GTPase superfamily, ARF/SAR type
NP_001032590.2	NP_001032590.2; NP_001382834.1	942; 943	Pfam	PF06758; PF06758	Olduvai domain; Olduvai domain	1.6E-25; 3.4E-28	IPR010630; IPR010630	Olduvai domain; Olduvai domain
NP_001032757.2	NP_001032757.2; NP_001035795.1	70; 70	Pfam	PF13841; PF13841	Beta defensin; Beta defensin	6.8E-7; 6.8E-7	IPR025933; IPR025933	Beta-defensin; Beta-defensin
NP_001032893.1	NP_001182186.1; NP_001032893.1	79; 79	Pfam	PF00711; PF00711	Beta defensin; Beta defensin	4.7E-5; 4.7E-5	IPR001855; IPR001855	Beta defensin type; Beta defensin type
NP_001034450.3	NP_001034450.3; NP_001278310.1; NP_001093321.1	474; 474; 474	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_001034704.2	NP_001034704.2; NP_001180559.1; NP_001157929.1	300; 300; 300	Pfam	PF00096, PF01352; PF00096, PF01352; PF01352, PF00096	Zinc finger, C2H2 type, KRAB box; Zinc finger, C2H2 type, KRAB box; KRAB box, Zinc finger, C2H2 type	4.1E-6, 8.3E-23; 4.1E-6, 8.3E-23; 1.7E-22, 0.0023	IPR013087, IPR001909; IPR013087, IPR001909; IPR001909, IPR013087	Zinc finger C2H2-type, Krueppel-associated box; Zinc finger C2H2-type, Krueppel-associated box; Krueppel-associated box, Zinc finger C2H2-type
NP_001035275.1	NP_001035275.1; NP_001166126.1; XP_016882932.1; XP_024307421.1; XP_005259754.1; NP_775802.2	523; 531; 541; 547; 551; 542	Pfam	PF00096, PF01352; PF01352, PF00096; PF00096, PF01352; PF01352, PF13912, PF00096; PF01352, PF00096; PF01352, PF00096	Zinc finger, C2H2 type, KRAB box; KRAB box, Zinc finger, C2H2 type; Zinc finger, C2H2 type, KRAB box; KRAB box, C2H2-type zinc finger, Zinc finger, C2H2 type; KRAB box, Zinc finger, C2H2 type; KRAB box, Zinc finger, C2H2 type	1.8E-5, 1.6E-26; 1.6E-26, 2.4E-7; 3.5E-7, 1.6E-26; 2.3E-22, 1.0E-4, 2.6E-6; 9.1E-23, 2.5E-6; 1.7E-21, 3.3E-6	IPR013087, IPR001909; IPR001909, IPR013087; IPR013087, IPR001909; IPR001909, -, IPR013087; IPR001909, IPR013087; IPR001909, IPR013087	Zinc finger C2H2-type, Krueppel-associated box; Krueppel-associated box, Zinc finger C2H2-type; Zinc finger C2H2-type, Krueppel-associated box; Krueppel-associated box, -, Zinc finger C2H2-type; Krueppel-associated box, Zinc finger C2H2-type; Krueppel-associated box, Zinc finger C2H2-type
NP_001035538.2	NP_001035538.2; NP_001229782.1	70; 70	Pfam	PF13841; PF13841	Beta defensin; Beta defensin	1.9E-7; 1.9E-7	IPR025933; IPR025933	Beta-defensin; Beta-defensin
NP_001035791.1	NP_001035791.1; NP_001091108.3	359; 361	Pfam	PF00852, PF17039; PF00852, PF17039	Glycosyltransferase family 10 (fucosyltransferase) C-term, Fucosyltransferase, N-terminal; Glycosyltransferase family 10 (fucosyltransferase) C-term, Fucosyltransferase, N-terminal	1.4E-66, 8.5E-37; 7.5E-69, 4.8E-35	IPR001503, IPR031481; IPR001503, IPR031481	Glycosyl transferase family 10, Fucosyltransferase, N-terminal; Glycosyl transferase family 10, Fucosyltransferase, N-terminal
NP_001035955.1	NP_001035955.1; NP_001092198.1; NP_001351496.1	395; 395; 395	Pfam	PF04056, PF07975; PF04056, PF07975; PF04056, PF07975	Ssl1-like, TFIIH C1-like domain; Ssl1-like, TFIIH C1-like domain; Ssl1-like, TFIIH C1-like domain	2.6E-94, 3.3E-10; 2.6E-94, 3.3E-10; 1.6E-94, 3.3E-10	IPR007198, IPR004595; IPR007198, IPR004595; IPR007198, IPR004595	Ssl1-like, TFIIH C1-like domain; Ssl1-like, TFIIH C1-like domain; Ssl1-like, TFIIH C1-like domain
NP_001036194.1	NP_001036194.1; XP_016866139.1; XP_016881449.1; XP_016883513.1	529; 537; 543; 542	Pfam	PF07714, PF00018, PF00017; PF00018, PF00017, PF07714; PF00017, PF00018, PF07714; PF00017, PF07714, PF00018	Protein tyrosine and serine/threonine kinase, SH3 domain, SH2 domain; SH3 domain, SH2 domain, Protein tyrosine and serine/threonine kinase; SH2 domain, SH3 domain, Protein tyrosine and serine/threonine kinase; SH2 domain, Protein tyrosine and serine/threonine kinase, SH3 domain	1.7E-89, 9.3E-19, 5.5E-28; 6.4E-20, 1.3E-28, 4.4E-94; 7.6E-28, 3.2E-18, 2.0E-92; 1.8E-27, 3.7E-93, 3.2E-13	IPR001245, IPR001452, IPR000980; IPR001452, IPR000980, IPR001245; IPR000980, IPR001452, IPR001245; IPR000980, IPR001245, IPR001452	Serine-threonine/tyrosine-protein kinase, catalytic domain, SH3 domain, SH2 domain; SH3 domain, SH2 domain, Serine-threonine/tyrosine-protein kinase, catalytic domain; SH2 domain, SH3 domain, Serine-threonine/tyrosine-protein kinase, catalytic domain; SH2 domain, Serine-threonine/tyrosine-protein kinase, catalytic domain, SH3 domain
NP_001071133.2	NP_001071133.2; NP_001263272.2; NP_001137472.1	686; 686; 686	Pfam	PF12796, PF01412; PF12796, PF01412; PF12796, PF01412	Ankyrin repeats (3 copies), Putative GTPase activating protein for Arf; Ankyrin repeats (3 copies), Putative GTPase activating protein for Arf; Ankyrin repeats (3 copies), Putative GTPase activating protein for Arf	2.1E-9, 3.2E-37; 1.7E-9, 8.0E-38; 1.9E-9, 1.5E-34	IPR020683, IPR001164; IPR020683, IPR001164; IPR020683, IPR001164	Ankyrin repeat-containing domain, Arf GTPase activating protein; Ankyrin repeat-containing domain, Arf GTPase activating protein; Ankyrin repeat-containing domain, Arf GTPase activating protein
NP_001071639.1	NP_001071639.1; NP_001071640.1; NP_001071641.1	113; 113; 113	Pfam	PF16297; PF16297; PF16297	Domain of unknown function (DUF4939); Domain of unknown function (DUF4939); Domain of unknown function (DUF4939)	6.0E-60; 5.1E-59; 7.2E-59	IPR032549; IPR032549; IPR032549	Domain of unknown function DUF4939; Domain of unknown function DUF4939; Domain of unknown function DUF4939
NP_001074259.1	XP_024308149.1; NP_001074259.1	315; 315	Pfam	PF12440; PF12440	Melanoma associated antigen family N terminal; Melanoma associated antigen family N terminal	9.7E-20; 9.7E-20	IPR021072; IPR021072	Melanoma associated antigen, N-terminal; Melanoma associated antigen, N-terminal
NP_001074290.1	NP_001074290.1; XP_016882805.1	643; 635	Pfam	PF13912, PF00096, PF01352; PF01352, PF13912, PF00096	C2H2-type zinc finger, Zinc finger, C2H2 type, KRAB box; KRAB box, C2H2-type zinc finger, Zinc finger, C2H2 type	3.1E-6, 9.6E-6, 4.0E-19; 1.3E-21, 2.4E-5, 1.8E-5	-, IPR013087, IPR001909; IPR001909, -, IPR013087	-, Zinc finger C2H2-type, Krueppel-associated box; Krueppel-associated box, -, Zinc finger C2H2-type
NP_001074467.1	NP_001074467.1; NP_001273749.1; NP_001118231.1	278; 279; 282	Pfam	PF15315; PF15315; PF15315	Facioscapulohumeral muscular dystrophy candidate 2; Facioscapulohumeral muscular dystrophy candidate 2; Facioscapulohumeral muscular dystrophy candidate 2	1.6E-84; 2.2E-85; 7.9E-83	IPR026245; IPR026245; IPR026245	Protein FRG2; Protein FRG2; Protein FRG2
NP_001077008.1	NP_001355183.1; NP_001077008.1	382; 382	Pfam	PF00047; PF00047	Immunoglobulin domain; Immunoglobulin domain	2.3E-12; 2.3E-12	IPR013151; IPR013151	Immunoglobulin; Immunoglobulin
NP_001087239.2	NP_001087239.2; XP_005270185.1	263; 265	Pfam	PF00059; PF00059	Lectin C-type domain; Lectin C-type domain	6.7E-24; 6.8E-24	IPR001304; IPR001304	C-type lectin-like; C-type lectin-like
NP_001091081.1	NP_001337109.1; NP_001091081.1	455; 455	Pfam	PF12430, PF12537; PF12430, PF12537	Abscisic acid G-protein coupled receptor, The Golgi pH Regulator (GPHR) Family N-terminal; Abscisic acid G-protein coupled receptor, The Golgi pH Regulator (GPHR) Family N-terminal	3.3E-41, 1.7E-27; 3.3E-41, 1.7E-27	IPR025969, IPR022535; IPR025969, IPR022535	Abscisic acid G-protein coupled receptor-like domain, Golgi pH regulator, conserved domain; Abscisic acid G-protein coupled receptor-like domain, Golgi pH regulator, conserved domain
NP_001091875.1	NP_001091879.1; NP_001091875.1; NP_001120817.2; NP_001091888.1; NP_001120671.1; NP_001091878.1; NP_001091880.1; NP_001091882.2; NP_001091876.2; NP_001120684.1; XP_011542198.1; NP_001091883.3	117; 117; 117; 117; 117; 117; 117; 117; 117; 116; 119; 116	Pfam	PF05831; PF05831; PF05831; PF05831; PF05831; PF05831; PF05831; PF05831; PF05831; PF05831; PF05831; PF05831	GAGE protein; GAGE protein; GAGE protein; GAGE protein; GAGE protein; GAGE protein; GAGE protein; GAGE protein; GAGE protein; GAGE protein; GAGE protein; GAGE protein	6.0E-34; 6.0E-34; 6.0E-34; 1.5E-33; 1.5E-33; 1.5E-33; 3.7E-33; 8.0E-35; 2.1E-33; 1.7E-36; 2.5E-34; 3.2E-41	IPR031320; IPR031320; IPR031320; IPR031320; IPR031320; IPR031320; IPR031320; IPR031320; IPR031320; IPR031320; IPR031320; IPR031320	GAGE; GAGE; GAGE; GAGE; GAGE; GAGE; GAGE; GAGE; GAGE; GAGE; GAGE; GAGE
NP_001092191.1	NP_001092191.1; XP_024305397.1; XP_006718563.1	75; 81; 75	Pfam	PF00631; PF00631; PF00631	GGL domain; GGL domain; GGL domain	3.2E-16; 1.3E-19; 3.3E-18	IPR015898; IPR015898; IPR015898	G-protein gamma-like domain; G-protein gamma-like domain; G-protein gamma-like domain
NP_001092808.1	NP_001092808.1; NP_001265424.1; NP_001342192.1	878; 878; 878	Pfam	PF12881; PF12881; PF12881	NUT protein; NUT protein; NUT protein	0.0; 0.0; 0.0	IPR024309; IPR024309; IPR024309	Nuclear Testis  protein, N-terminal; Nuclear Testis  protein, N-terminal; Nuclear Testis  protein, N-terminal
NP_001093131.1	NP_001093131.1; NP_001186071.1	914; 913	Pfam	PF01399, PF05470; PF05470, PF01399	PCI domain, Eukaryotic translation initiation factor 3 subunit 8 N-terminus; Eukaryotic translation initiation factor 3 subunit 8 N-terminus, PCI domain	1.3E-16, 3.8E-271; 9.4E-272, 1.3E-16	IPR000717, IPR008905; IPR008905, IPR000717	Proteasome component (PCI) domain, Eukaryotic translation initiation factor 3 subunit C, N-terminal domain; Eukaryotic translation initiation factor 3 subunit C, N-terminal domain, Proteasome component (PCI) domain
NP_001093260.3	NP_001093260.3; NP_001094101.2; NP_001093320.2; XP_016885673.2	479; 479; 479; 475	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_001094380.1	NP_001094380.1; NP_001372173.1; NP_001332871.1; NP_001332996.1	149; 149; 149; 149	Pfam	PF14976; PF14976; PF14976; PF14976	FAM72 protein; FAM72 protein; FAM72 protein; FAM72 protein	7.3E-78; 1.0E-53; 1.3E-50; 3.1E-49	IPR026768; IPR026768; IPR026768; IPR026768	Protein FAM72; Protein FAM72; Protein FAM72; Protein FAM72
NP_001098057.1	NP_001098057.1; XP_016879721.1	901; 897	Pfam	PF09848, PF04326; PF09848, PF04326	Uncharacterized conserved protein (DUF2075), Putative DNA-binding domain; Uncharacterized conserved protein (DUF2075), Putative DNA-binding domain	9.1E-5, 1.2E-11; 4.4E-5, 2.0E-13	IPR018647, IPR007421; IPR018647, IPR007421	Domain of unknown function DUF2075, Schlafen, AlbA_2 domain; Domain of unknown function DUF2075, Schlafen, AlbA_2 domain
NP_001099044.1	NP_001099044.1; NP_061815.2	357; 348	Pfam	PF00046; PF00046	Homeodomain; Homeodomain	6.7E-21; 3.0E-20	IPR001356; IPR001356	Homeobox domain; Homeobox domain
NP_001104789.1	NP_001104789.1; NP_001172078.1	220; 220	Pfam	PF00822; PF00822	PMP-22/EMP/MP20/Claudin family; PMP-22/EMP/MP20/Claudin family	1.1E-23; 5.1E-24	IPR004031; IPR004031	PMP-22/EMP/MP20/Claudin superfamily; PMP-22/EMP/MP20/Claudin superfamily
NP_001106878.1	NP_001106878.1; XP_006714038.1	411; 411	Pfam	PF17916, PF01803; PF17916, PF01803	LIM interaction domain (LID), LIM-domain binding protein; LIM interaction domain (LID), LIM-domain binding protein	3.2E-16, 9.7E-40; 3.2E-16, 2.0E-40	IPR041363, IPR029005; IPR041363, IPR029005	LIM interaction domain, LIM-domain binding protein/SEUSS; LIM interaction domain, LIM-domain binding protein/SEUSS
